phenotype,ICD10_control_exclude,ICD10_case_include,ICD9_control_exclude,ICD9_case_include
Chronic obstructive pulmonary disease (COPD), J40 | J45 | J450 | J451 | J458 | J459 | J46 | J4531 | J45901 | J4542 | J4541 | J4551 | J45990 | J45902 | J4521 | J4552 | J4532 | J4522 | J40 | J45909 | J45998 | J4540 | J4520 | J45 | J45991 | J4590 | J4530 | J4550 | J9801 , J41 | J410 | J411 | J418 | J42 | J43 | J430 | J431 | J432 | J438 | J439 | J44 | J440 | J441 | J448 | J449 | J47 | J441 | J44 | J440 | J471 | J479 | J470 | J47 | J432 | J430 | J431 | J438 | J439 | J43 | J418 | J42 | J411 | J410 | J41 | J449 , 490 | 493 | 4930 | 49300 | 49301 | 49302 | 4931 | 49310 | 49311 | 49312 | 4932 | 49320 | 49321 | 49322 | 4938 | 49381 | 49382 | 4939 | 49390 | 49391 | 49392 | 51911 , 491 | 4910 | 4911 | 4912 | 49120 | 49121 | 49122 | 4918 | 4919 | 492 | 4920 | 4928 | 494 | 4940 | 4941 | 496 
Chronic Renal Failure,"", N18 ,"", 5859 
Coffin-Siris syndrome,"", Q871 ,"",""
Colon and rectum cancer,"", C20 | Z86010 | C18 | C180 | C181 | C182 | C183 | C184 | C185 | C186 | C187 | C188 | C189 | C19 | C21 | C210 | C211 | C212 | C218 | Z121 ,"", V7641 | 153 | 1530 | 1531 | 1532 | 1533 | 1534 | 1535 | 1536 | 1537 | 1538 | 1539 | 154 | 1540 | 1541 | 1542 | 1543 | 1548 
Coronary artery disease,"", I210 | I211 | I212 | I213 | I214 | I219 | I220 | I221 | I222 | I228 | I229 | I230 | I231 | I232 | I233 | I234 | I235 | I236 | I237 | I238 | I241 | I252 ,"", 410 | 4109 | 411 | 4119 | 412 | 4129 
Corpus callosum agenesis-neuronopathy syndrome,"", G600 ,"",""
Eating disorders,"", F50 | F500 | F501 | F502 | F503 | F504 | F505 | F508 | F509 ,"", 3071 | 3075 | 30750 | 30751 | 30752 | 30753 | 30754 | 30755 | 30759 
Endocarditis,"", B3321 | I33 | I330 | I339 | I38 | I39 | I390 | I391 | I392 | I393 | I394 | I398 ,"", 07422 | 424 | 421 | 4210 | 4211 | 4219 | 4249 
Endometriosis, N800 , N801 | N802 | N803 | N804 | N805 | N806 | N808 | N809 , 6170 , 6171 | 6172 | 6173 | 6174 | 6175 | 6176 | 6178 | 6179 
Esophageal cancer,"", Z8501 | C15 | C150 | C151 | C152 | C153 | C154 | C155 | C158 | C159 ,"", 150 | 1500 | 1501 | 1502 | 1503 | 1504 | 1505 | 1508 | 1509 
Essential thrombocythemia,"", D473 ,"",""
"Excess, frequent and irregular menstrual bleeding","", N92 ,"", 6262 
Familial spontaneous pneumothorax,"", C911 ,"",""
Female infertility,"", N97 | N970 | N971 | N972 | N973 | N974 | N978 | N979 ,"", 6280 | 6283 | 6284 | 6288 | 6289 
Female infertility (anatomic causes only),"", N971 | N972 | N973 ,"", 6283 | 6284 
